Epoch [1][760/1780], lr: 0.00000e+00, loss: 0.00094222
Epoch [1][765/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][770/1780], lr: 0.00000e+00, loss: 5.9605e-07
Epoch [1][775/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][780/1780], lr: 0.00000e+00, loss: 0.02232
Epoch [1][785/1780], lr: 0.00000e+00, loss: 0.061384
Epoch [1][790/1780], lr: 0.00000e+00, loss: 2.1696e-06
Epoch [1][795/1780], lr: 0.00000e+00, loss: 2.3842e-08
Epoch [1][800/1780], lr: 0.00000e+00, loss: 1.502e-06
Epoch [1][805/1780], lr: 0.00000e+00, loss: 3.9816e-06
Epoch [1][810/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][815/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][820/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][825/1780], lr: 0.00000e+00, loss: 1.8334e-05
Epoch [1][830/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][835/1780], lr: 0.00000e+00, loss: 7.9211e-05
Epoch [1][840/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][845/1780], lr: 0.00000e+00, loss: 1.1921e-07
Epoch [1][850/1780], lr: 0.00000e+00, loss: 0.0029548
Epoch [1][855/1780], lr: 0.00000e+00, loss: 2.861e-07
Epoch [1][860/1780], lr: 0.00000e+00, loss: 0.038735
Epoch [1][865/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][870/1780], lr: 0.00000e+00, loss: 1.2779e-05
Epoch [1][875/1780], lr: 0.00000e+00, loss: 3.8334e-05
Epoch [1][880/1780], lr: 0.00000e+00, loss: 6.9141e-07
Epoch [1][885/1780], lr: 0.00000e+00, loss: 0.0
Epoch [1][890/1780], lr: 0.00000e+00, loss: 1.6689e-07
Epoch [1][895/1780], lr: 0.00000e+00, loss: 2.3365e-06
Epoch [1][900/1780], lr: 0.00000e+00, loss: 0.00048847
Epoch [1][905/1780], lr: 0.00000e+00, loss: 0.0
